text	normalized	phones	ipa	style	source	status	reviewer	notes_or_phones_google
videotape	videotape	bh i . dx i . y o . tx e p		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . dd i . y o . tt e p
vider	vider	bh aaj . dx ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh aaj . dd ax r
vidor	vidor	bh i . dx o r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . dd o r
vidya	vidya	b i d . d y aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i d . d y aa
vietnam	vietnam	bh i . y ax t . n aa m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . y ax t . n aa m
views	views	bh y u dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh y u jh
vijay	vijay	b i . dz ax . y ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . jh ax . y ax
vijaya	vijaya	b i . dz ax . y aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . jh ax . y aa
vijayendra	vijayendra	b i . dz ax . y e n . d r ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . jh ax . y e n . d r ax
vijender	vijender	b i . dz e n . dx ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . jh e n . dd ax r
vikings	vikings	bh aaj . k i ng		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh aaj . k i ng
vikram	vikram	b i k . k r ax m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i k . k r ax m
villa	villa	bh i l . l aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i l . l aa
village	village	bh i . l e dz		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . l e jh
villagers	villagers	bh i . l e . dz ax r s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . l e . jh ax r s
villain	villain	bh i . l e n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . l e n
vin	vin	bh i n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i n
vinayak	vinayak	b i . n aa . y ax k		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . n aa . y ax k
vinita	vinita	b i . n i . t aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . n i . t aa
vinod	vinod	b i . n o d		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=b i . n o d
vinyl	vinyl	bh i . n aaj l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . n aaj l
violet	violet	bh w aaj . l e tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh w aaj . l e tt
virgin	virgin	bh ax r . dz i n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh ax r . jh i n
virus	virus	bh aaj . r ax s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh aaj . r ax s
visa	visa	bh i . s aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=bh i . s aa
